setting,case_id,target,delta,reference_delta,jbc_same,lgcs_same,jbc_reference_change
peak_parallel_penalty_minus20,C068,4,0.007502450071506406,0.007502450071506406,True,True,0.0
peak_parallel_penalty_minus20,C069,1,0.0,0.0,True,True,0.0
peak_parallel_penalty_minus20,C069,2,0.0005813163122918574,0.0005813163122918574,True,True,0.0
peak_parallel_penalty_minus20,C069,3,0.01569774206738117,0.01569774206738117,True,True,0.0
peak_parallel_penalty_minus20,C069,4,0.014761934073987959,0.014761934073987959,True,True,0.0
peak_parallel_penalty_minus20,C070,1,0.002931625095556001,0.002931625095556001,True,True,0.0
peak_parallel_penalty_minus20,C070,2,0.0,0.0,True,True,0.0
peak_parallel_penalty_minus20,C070,3,0.011993305061139825,0.011993305061139825,True,True,0.0
peak_parallel_penalty_minus20,C070,4,0.009061679965583824,0.009061679965583824,True,True,0.0
peak_parallel_penalty_minus20,C071,1,0.0158591544630986,0.0158591544630986,True,True,0.0
peak_parallel_penalty_minus20,C071,2,0.9148340788633724,0.914834078863372,True,True,0.0
peak_parallel_penalty_minus20,C071,3,0.8989749244002736,0.8989749244002736,True,True,0.0
peak_parallel_penalty_minus20,C071,4,0.002626760944510753,0.002626760944510753,True,True,0.0
peak_parallel_penalty_minus20,C071,5,0.09473963927096252,0.1021996131109626,True,True,0.0
peak_parallel_penalty_minus20,C071,6,0.09473963927096296,0.10219961311096304,True,True,0.0
peak_parallel_penalty_minus20,C072,1,0.02266641995486962,0.02266641995486962,True,True,0.0
peak_parallel_penalty_minus20,C072,2,0.9302202956982986,0.9302202956982986,True,True,0.0
peak_parallel_penalty_minus20,C072,3,0.02266641995486962,0.02266641995486962,True,True,0.0
peak_parallel_penalty_minus20,C072,4,0.2891558942990686,0.3118242678190686,True,True,0.0
peak_parallel_penalty_minus20,C073,1,0.0016389228842355053,0.0016389228842355053,True,True,0.0
peak_parallel_penalty_minus20,C073,2,0.007024160800548351,0.0070241608005487954,True,True,0.0
peak_parallel_penalty_minus20,C073,3,0.03519594208269572,0.03519594208269572,True,True,0.0
peak_parallel_penalty_minus20,C073,4,0.0,0.0,True,True,0.0
peak_parallel_penalty_minus20,C074,1,0.007561579790073658,0.007561579790073658,True,True,0.0
peak_parallel_penalty_minus20,C074,2,0.9028277051091391,0.9028277051091391,True,True,0.0
peak_parallel_penalty_minus20,C074,3,0.0,0.0,True,True,0.0
peak_parallel_penalty_minus20,C074,4,0.0,0.0,True,True,0.0
peak_parallel_penalty_minus20,C075,1,0.0021674261307138565,0.0021674261307138565,True,True,0.0
peak_parallel_penalty_minus20,C075,2,0.004461274703182472,0.004461274703182472,True,True,0.0
peak_parallel_penalty_minus20,C075,3,0.0,0.0,True,True,0.0
peak_parallel_penalty_minus20,C075,4,0.0030379010293302144,0.0030379010293297704,True,True,0.0
peak_parallel_penalty_minus20,C076,1,0.0,0.0,True,True,0.0
peak_parallel_penalty_minus20,C076,2,0.00883692067271813,0.00883692067271813,True,True,0.0
peak_parallel_penalty_minus20,C076,3,0.0,0.0,True,True,0.0
peak_parallel_penalty_minus20,C076,4,0.0,0.0,True,True,0.0
peak_parallel_penalty_minus20,C077,1,0.0,0.0,True,True,0.0
peak_parallel_penalty_minus20,C077,2,0.01855201592712663,0.01855201592712663,True,True,0.0
peak_parallel_penalty_minus20,C078,1,0.00354688108191481,0.00354688108191481,True,True,0.0
peak_parallel_penalty_minus20,C078,2,0.012312490525359654,0.012906411245359628,True,True,0.0
peak_parallel_penalty_minus20,C079,1,0.002834059620761442,0.002834059620761442,True,True,0.0
peak_parallel_penalty_minus20,C079,2,0.01092434680514609,0.010924346805146534,True,True,0.0
peak_parallel_penalty_minus20,C079,3,0.002834059620761664,0.002834059620761664,True,True,0.0
peak_parallel_penalty_minus20,C079,4,0.0,0.0,True,True,0.0
peak_parallel_penalty_minus20,C080,1,0.0,0.0,True,True,0.0
peak_parallel_penalty_minus20,C080,2,0.008507951720241436,0.008515417960241689,True,True,0.0
peak_parallel_penalty_minus20,C081,1,0.0,0.0,True,True,0.0
peak_parallel_penalty_minus20,C081,2,0.0,0.0,True,True,0.0
peak_parallel_penalty_minus20,C082,1,0.008190035345573277,0.008190035345573055,True,True,0.0
peak_parallel_penalty_minus20,C082,2,0.0,0.0,True,True,0.0
peak_parallel_penalty_minus20,C083,1,0.05470738556797383,0.05470738556797383,True,True,0.0
peak_parallel_penalty_minus20,C083,2,0.06437155558817853,0.06437155558817853,True,True,0.0
peak_parallel_penalty_minus20,C083,3,0.06790811250241724,0.06790811250241724,True,True,0.0
peak_parallel_penalty_minus20,C083,4,0.06982594087370964,0.07471023415370959,True,True,0.0
peak_parallel_penalty_minus20,C084,1,0.02470398109368266,0.024703981093682437,True,True,0.0
peak_parallel_penalty_minus20,C084,2,0.007744409349537351,0.007744409349537351,True,True,0.0
peak_parallel_penalty_minus20,C085,1,0.02168095274012849,0.02168095274012849,True,True,0.0
peak_parallel_penalty_minus20,C085,2,0.036362426961091376,0.036362426961091376,True,True,0.0
peak_parallel_penalty_minus20,C085,3,0.023779284415549107,0.023779284415549107,True,True,0.0
peak_parallel_penalty_minus20,C085,4,0.008745480168260933,0.008745480168260933,True,True,0.0
peak_parallel_penalty_minus20,C086,1,0.0005592503114466574,0.0005592503114466574,True,True,0.0
peak_parallel_penalty_minus20,C086,2,0.0,0.0,True,True,0.0
peak_parallel_penalty_minus20,C086,3,0.00587498751809834,0.00587498751809834,True,True,0.0
