case_id,prototype,production_seed,prior_width_scale,generation_success,geometry_valid,l1_count,l2_count,ordinary_total_length,root_coverage_qcov,total_runtime_seconds,failed_phase,error_message
SW3-A_seed20260923_width0.8,SW3-A,20260923,0.8,1,True,5,2,1.5841131035501654,0.636363636,8.940564599994104,,
SW3-A_seed20260923_width1.2,SW3-A,20260923,1.2,1,True,6,2,1.4924713555358482,0.666666666,8.18974669999443,,
SW3-A_seed20260924_width1.0,SW3-A,20260924,1.0,1,True,6,1,1.490320968442705,0.727272728,11.72491090001131,,
SW3-A_seed20260924_width0.8,SW3-A,20260924,0.8,1,True,6,1,1.4710193247920933,0.727272727,13.893968899996253,,
SW3-A_seed20260924_width1.2,SW3-A,20260924,1.2,1,True,6,1,1.4309532956761144,0.696969697,10.939562500003376,,
SW3-A_seed20260925_width1.0,SW3-A,20260925,1.0,1,True,6,1,1.4445486795886795,0.666666666,10.662415600003442,,
SW3-A_seed20260925_width0.8,SW3-A,20260925,0.8,1,True,5,1,1.3874345744831147,0.636363636,10.03786989999935,,
SW3-A_seed20260925_width1.2,SW3-A,20260925,1.2,1,True,6,1,1.4543271300273644,0.696969697,9.708797100000083,,
SW3-B_seed20260923_width1.0,SW3-B,20260923,1.0,1,True,6,3,1.9842104611934233,0.727272727,47.59239710000111,,
SW3-B_seed20260923_width0.8,SW3-B,20260923,0.8,1,True,6,2,1.7824934000721313,0.696969697,65.75786129999324,,
SW3-B_seed20260923_width1.2,SW3-B,20260923,1.2,1,True,6,2,1.8045209671400984,0.696969697,34.99269680000725,,
SW3-B_seed20260924_width1.0,SW3-B,20260924,1.0,1,True,6,1,1.7230956431968243,0.666666667,42.65658379999513,,
SW3-B_seed20260924_width0.8,SW3-B,20260924,0.8,1,True,6,1,1.427944203800282,0.666666667,59.344613299996126,,
SW3-B_seed20260924_width1.2,SW3-B,20260924,1.2,1,True,6,1,1.7284956769520572,0.636363637,32.41438180000114,,
SW3-B_seed20260925_width1.0,SW3-B,20260925,1.0,1,True,6,2,1.5903436177940327,0.6363636369999999,55.67007529998955,,
SW3-B_seed20260925_width0.8,SW3-B,20260925,0.8,1,True,6,1,1.399862056616099,0.6666666659999999,63.61068630000227,,
SW3-B_seed20260925_width1.2,SW3-B,20260925,1.2,1,True,6,1,1.6519529342465396,0.6666666669999999,35.8274439000088,,
