case_id,target,method,attained,score,quality,B,U,total,peak
C040,2,LG+CS,True,0.7632114643321535,0.7066853260321534,2,1,0.117594154,0.117594154
C040,2,JBC,True,0.9100914657792889,0.730091465779289,2,1,0.0,0.0
C041,1,LocalGreedy,True,0.8580402982239417,0.6780402982239417,1,1,0.0,0.0
C041,1,LG+Count,True,0.8580402982239417,0.6780402982239417,1,1,0.0,0.0
C041,1,LG+CS,True,0.9071536188563445,0.7271536188563446,1,1,0.0,0.0
C041,1,JBC,True,0.9077415840975833,0.7277415840975834,1,1,0.0,0.0
C041,2,LocalGreedy,True,0.8963254123421407,0.7163254123421406,2,1,0.0,0.0
C041,2,LG+Count,True,0.8963254123421407,0.7163254123421406,2,1,0.0,0.0
C041,2,LG+CS,True,0.9110175994155016,0.7310175994155017,2,1,0.0,0.0
C041,2,JBC,True,1.8148952029539278,1.454895202953928,2,2,0.0,0.0
C041,3,LocalGreedy,True,1.3113567590377657,1.4420810808877658,3,2,0.467356497,0.467356497
C041,3,LG+Count,True,1.3113567590377657,1.4420810808877658,3,2,0.467356497,0.467356497
C041,3,LG+CS,True,1.7943087449621542,1.4343087449621543,3,2,0.0,0.0
C041,3,JBC,True,2.7207744567993464,2.1807744567993463,3,3,0.0,0.0
C041,4,LocalGreedy,True,1.8892525851092756,2.1316917661092756,4,3,0.916148588,0.467356497
C041,4,LG+Count,True,1.8892525851092756,2.1316917661092756,4,3,0.916148588,0.467356497
C041,4,LG+CS,True,2.6318278761738356,2.1484133365238356,4,3,0.061542947,0.041456362
C041,4,JBC,True,2.7246384373585038,2.1846384373585037,4,3,0.0,0.0
C041,5,LocalGreedy,True,2.1829670289121794,2.1670124957621795,5,3,0.5186197969999999,0.467356497
C041,5,LG+Count,True,2.1829670289121794,2.1670124957621795,5,3,0.5186197969999999,0.467356497
C041,5,LG+CS,True,2.6454136948365687,2.1592401598365685,5,3,0.0512633,0.0512633
C041,5,JBC,True,2.721543971750425,2.181543971750425,5,3,0.0,0.0
C041,6,LocalGreedy,False,2.1829670289121794,2.1670124957621795,5,3,0.5186197969999999,0.467356497
C041,6,LG+Count,True,2.6388788595242856,2.1527053245242853,6,3,0.0512633,0.0512633
C041,6,LG+CS,True,2.6593609451683893,2.173187410168389,6,3,0.0512633,0.0512633
C041,6,JBC,True,2.71290311378348,2.17290311378348,6,3,0.0,0.0
C042,1,LocalGreedy,True,0.8872655468847286,0.7072655468847285,1,1,0.0,0.0
C042,1,LG+Count,True,0.8872655468847286,0.7072655468847285,1,1,0.0,0.0
C042,1,LG+CS,True,0.9031682927670523,0.7231682927670524,1,1,0.0,0.0
C042,1,JBC,True,0.9135422127450639,0.7335422127450639,1,1,0.0,0.0
C042,2,LocalGreedy,True,0.8692407468638381,0.6892407468638381,2,1,0.0,0.0
C042,2,LG+Count,True,0.8692407468638381,0.6892407468638381,2,1,0.0,0.0
C042,2,LG+CS,True,1.8105808828258567,1.4505808828258568,2,2,0.0,0.0
C042,2,JBC,True,1.8209548028038682,1.4609548028038684,2,2,0.0,0.0
C042,3,LocalGreedy,True,1.7586229810072407,1.3986229810072408,3,2,0.0,0.0
