case_id,prototype_id,backbone_variant,replicate,density_level,l1_count,ordinary_length,D,target,source_dir,residual
A102,proto_sw_1_3,expanded,2,rich,6,1.2957661261197173,0.731183284,0.712198481,../../structural_assets/assets/A102,0.01898480299999994
A103,proto_sw_1_3,compact,2,simple,4,1.0822005555418994,0.269899865,0.252696236,../../structural_assets/assets/A103,0.017203628999999998
A104,proto_sw_1_3,compact,2,medium,6,1.1636794754274857,0.597364586,0.529172875,../../structural_assets/assets/A104,0.06819171099999999
A105,proto_sw_1_3,compact,2,rich,6,1.2935020767370493,0.701897085,0.734076524,../../structural_assets/assets/A105,-0.032179438999999976
A106,proto_sw_1_3,swept,2,simple,4,0.9305449534757626,0.182756653,0.226176394,../../structural_assets/assets/A106,-0.04341974100000001
A107,proto_sw_1_3,swept,2,medium,6,1.1218560164510312,0.551030622,0.463852497,../../structural_assets/assets/A107,0.087178125
A108,proto_sw_1_3,swept,2,rich,6,1.320420751212396,0.704239849,0.715595212,../../structural_assets/assets/A108,-0.011355362999999952
A109,proto_sw_1_3,expanded,3,simple,4,0.9747527074241292,0.245571553,0.245571553,../../structural_assets/assets/A109,0.0
A110,proto_sw_1_3,expanded,3,medium,4,1.0392984979446223,0.350284141,0.463729429,../../structural_assets/assets/A110,-0.11344528800000003
A111,proto_sw_1_3,expanded,3,rich,6,1.4380855273762914,0.734267965,0.683285417,../../structural_assets/assets/A111,0.050982548000000016
A112,proto_sw_1_3,compact,3,simple,4,1.006611305760655,0.234128959,0.237223426,../../structural_assets/assets/A112,-0.0030944669999999896
A113,proto_sw_1_3,compact,3,medium,6,1.4164985491529787,0.712432548,0.515511963,../../structural_assets/assets/A113,0.19692058499999998
A114,proto_sw_1_3,compact,3,rich,6,1.4164985491529787,0.712432548,0.729285811,../../structural_assets/assets/A113,-0.016853263000000007
A115,proto_sw_1_3,swept,3,simple,4,1.0528352828890322,0.228408043,0.241078014,../../structural_assets/assets/A115,-0.012669971000000002
A116,proto_sw_1_3,swept,3,medium,6,1.3013196756752317,0.589192136,0.505025083,../../structural_assets/assets/A116,0.08416705299999994
A117,proto_sw_1_3,swept,3,rich,6,1.4277266509656559,0.685598063,0.71603176,../../structural_assets/assets/A117,-0.030433696999999982
A118,proto_sw_1_3,expanded,4,simple,4,0.8971696949388511,0.188797107,0.233522031,../../structural_assets/assets/A118,-0.044724924
A119,proto_sw_1_3,expanded,4,medium,5,1.2021524809353297,0.413647046,0.460619577,../../structural_assets/assets/A119,-0.046972530999999984
A120,proto_sw_1_3,expanded,4,rich,6,1.3100365741334856,0.663989044,0.693687554,../../structural_assets/assets/A120,-0.02969851000000001
A121,proto_sw_1_3,compact,4,simple,4,0.9525988765908121,0.209217072,0.244898133,../../structural_assets/assets/A121,-0.035681060999999986
A122,proto_sw_1_3,compact,4,medium,6,1.3701661279408226,0.721190173,0.53037229,../../structural_assets/assets/A122,0.19081788300000002
A123,proto_sw_1_3,compact,4,rich,6,1.3701661279408226,0.721190173,0.737291275,../../structural_assets/assets/A122,-0.016101102000000034
A124,proto_sw_1_3,swept,4,simple,4,0.942915388957305,0.206803094,0.243575031,../../structural_assets/assets/A124,-0.036771937000000005
A125,proto_sw_1_3,swept,4,medium,5,1.1051421509556763,0.412756764,0.47723837,../../structural_assets/assets/A125,-0.06448160600000002
A126,proto_sw_1_3,swept,4,rich,6,1.4209519017917718,0.721167246,0.706659347,../../structural_assets/assets/A126,0.014507899000000046
A127,proto_sw_1_3,expanded,5,simple,4,1.0756326624973298,0.228476383,0.243828453,../../structural_assets/assets/A127,-0.015352069999999995
A128,proto_sw_1_3,expanded,5,medium,5,1.1555851197245908,0.396403668,0.446842224,../../structural_assets/assets/A128,-0.05043855600000002
A129,proto_sw_1_3,expanded,5,rich,6,1.4118641877049412,0.646461314,0.644071931,../../structural_assets/assets/A129,0.0023893829999999117
A130,proto_sw_1_3,compact,5,simple,4,0.9788192363345616,0.230624894,0.232015571,../../structural_assets/assets/A130,-0.0013906770000000068
A131,proto_sw_1_3,compact,5,medium,6,1.2744750736451071,0.579548074,0.459971999,../../structural_assets/assets/A131,0.11957607499999995
A132,proto_sw_1_3,compact,5,rich,6,1.5325237454715679,0.70842878,0.716395621,../../structural_assets/assets/A132,-0.007966841000000002
A133,proto_sw_1_3,swept,5,simple,4,0.9045041297251034,0.23594214,0.236410023,../../structural_assets/assets/A133,-0.00046788300000000227
